x,y,z
-10.864,-43.823,19.409
9.583,-3.418,5.066
-38.452,-83.008,8.362
12.207,123.596,-14.893
-22.4,-49.133,-13.672
19.592,3.784,20.203
-23.682,-50.476,28.748
-11.902,-22.095,1.282
13.733,-15.198,22.278
14.16,25.574,-2.197
18.005,62.073,-36.987
13.794,39.795,-0.732
-22.705,-33.875,-2.075
1.343,-3.601,1.709
-1.77,-10.254,23.132
11.047,38.33,-12.39
8.545,6.104,-7.263
-23.071,-44.006,54.199
10.742,18.188,5.676
-21.606,-49.316,12.329
6.409,13.55,-17.944
-60.12,-110.413,-15.442
-33.325,80.75,-9.766
-19.653,-1.892,-6.287
5.981,-13.672,2.869
4.517,-9.521,-1.526
48.218,28.442,15.869
-14.282,-54.688,3.967
-24.536,-12.573,-2.38
-20.142,71.35,-8.301
-14.099,2.747,-27.344
-131.958,-7.751,-34.119
7.385,42.358,-0.488
-3.479,0.671,0.671
25.879,-4.822,-28.259
-20.447,-44.495,39.124
38.879,-32.532,-3.296
-66.162,1.892,38.147
22.583,-82.275,73.486
-26.611,13.306,-7.263
22.095,-4.7,7.751
-16.113,34.851,-2.808
22.644,-33.569,-1.709
19.592,21.24,-0.549
-134.521,-81.36,27.771
-87.769,18.555,-7.202
-41.687,55.969,38.635
1.282,-32.227,-10.498
124.939,-39.49,34.18
-8.301,46.57,10.315
7.507,-22.4,-2.136
17.578,4.944,-56.763
6.836,-21.729,27.222
21.545,21.24,-16.541
-20.447,-5.371,-18.616
-3.662,7.812,-39.49
24.17,-15.503,24.414
-169.678,-283.569,86.609
84.412,24.658,-100.342
-69.641,39.429,21.301
11.047,1.404,-5.127
16.663,-48.035,-8.118
-9.705,11.78,-42.786
39.795,-21.362,2.563
-116.943,129.578,-54.565
11.719,8.301,-7.141
1.709,0.977,-2.869
-14.832,-34.973,9.888
-20.935,-52.063,-22.705
18.982,29.785,42.419
-23.438,-16.907,-14.343
-4.028,-10.925,10.254
7.202,7.69,7.69
-58.289,125.671,3.54
-10.132,-53.65,-16.357
6.958,-15.015,-18.921
3.601,-42.664,-1.953
10.01,6.592,-24.902
-32.41,-27.344,-20.752
65.125,-55.115,17.395
-8.728,0.61,0.244
-0.977,-21.729,23.56
-0.427,-25.33,-19.592
23.499,-53.65,7.935
-6.836,26.794,7.751
11.23,37.72,-15.198
-8.85,6.592,-29.419
64.636,19.104,6.226
-17.212,6.47,-14.771
-21.24,36.804,-43.823
-26.917,8.911,-8.545
-7.324,-1.465,-7.385
10.376,67.81,-20.63
-19.287,54.626,-7.446
13.611,34.607,-33.142
-8.728,0.61,-4.822
-21.667,32.227,57.434
-3.845,41.077,26.245
39.673,-5.859,1.465
-6.409,-13.672,-19.653
20.935,62.927,21.912
0.732,-6.714,8.423
25.33,-10.864,-2.563
47.363,-83.984,-41.687
-0.061,-3.479,-5.493
-2.625,3.296,7.08
-7.935,2.747,0.305
9.827,-0.671,2.319
1.831,0.61,15.564
15.686,-29.358,-18.982
-0.549,-1.526,-1.709
-36.377,18.494,6.897
-15.625,4.7,6.47
-5.798,13.428,-5.31
1.221,3.845,12.207
58.594,-6.348,21.484
-0.366,-34.18,-35.889
10.803,-27.649,2.197
9.521,43.335,10.803
6.958,-11.353,-3.357
47.18,68.115,13.855
2.319,-4.272,-1.953
89.966,-47.424,-8.301
44.189,-10.132,-12.146
-12.085,-71.411,0.366
-4.15,4.883,-11.536
41.87,127.38,-28.503
-16.663,-60.669,-6.653
-5.798,2.502,-9.521
-12.573,3.174,-4.822
-0.793,17.334,-14.16
6.714,-23.987,-15.198
-20.264,-3.052,-11.536
129.15,-109.253,19.897
-10.376,-15.015,-12.451
-18.25,24.109,-8.179
-44.8,22.339,-20.63
8.179,30.212,6.165
-26.001,15.869,-8.85
-2.319,4.395,3.235
4.272,-7.568,1.77
-4.211,0.732,9.705
-1.038,7.141,-6.47
-0.916,-10.132,-10.498
-28.748,-30.029,5.676
-10.01,-25.269,4.7
1.282,-0.427,0.916
-0.305,-1.526,-0.793
0.305,-0.061,-0.305
1.16,-2.747,0.061
-0.732,0.427,1.221
5.859,21.729,10.864
9.338,52.49,1.709
6.897,47.18,32.104
2.197,11.902,-8.972
11.23,44.922,-0.977
-2.686,15.747,-1.343
7.629,-19.897,-0.977
