x,y,z
-35.645,-124.268,2.747
-19.836,-51.27,79.895
40.344,88.623,41.931
-27.344,-74.036,-39.734
37.048,-63.538,6.165
25.818,59.265,63.843
5.737,-32.837,-97.717
-31.189,-68.604,38.391
8.972,67.017,4.028
-55.115,-81.543,16.052
-0.305,-1.038,-3.845
53.467,104.553,-139.832
-90.881,-52.673,22.888
1.404,-0.854,-0.122
0.183,-0.427,-0.183
0.0,-0.366,-0.183
0.122,-0.427,-0.183
-0.244,-0.305,-0.244
0.244,-0.488,-0.244
0.122,-0.427,-0.183
0.366,-0.549,-0.183
0.305,-0.488,-0.183
0.183,-0.427,-0.183
0.122,-0.366,-0.244
0.183,-0.427,-0.183
0.183,-0.427,-0.183
0.122,-0.427,-0.244
0.122,-0.366,-0.183
0.183,-0.366,-0.244
0.122,-0.488,-0.183
0.122,-0.427,-0.244
0.122,-0.427,-0.244
0.122,-0.366,-0.244
0.183,-0.488,-0.244
0.183,-0.488,-0.183
0.244,-0.488,-0.183
0.122,-0.427,-0.244
-1.526,0.183,-0.427
0.061,-0.427,-0.183
0.305,-0.488,-0.183
0.122,-0.488,-0.244
0.183,-0.488,-0.183
-0.061,-0.366,-0.244
0.183,-0.366,-0.244
0.183,-0.488,-0.183
0.0,-0.366,-0.244
0.244,-0.488,-0.183
0.244,-0.488,-0.244
0.183,-0.427,-0.244
0.061,-0.427,-0.244
0.244,-0.488,-0.183
0.244,-0.427,-0.183
0.061,-0.427,-0.244
0.244,-0.427,-0.183
0.183,-0.427,-0.183
0.061,-0.366,-0.244
0.244,-0.488,-0.183
-0.244,-0.305,-0.305
-0.244,-0.244,-0.305
0.305,-0.488,-0.244
0.366,-0.488,-0.183
0.061,-0.427,-0.244
0.061,-0.427,-0.244
0.122,-0.427,-0.244
0.183,-0.427,-0.244
0.183,-0.427,-0.244
0.122,-0.427,-0.244
0.183,-0.427,-0.244
0.244,-0.488,-0.244
0.122,-0.427,-0.244
0.061,-0.427,-0.244
0.305,-0.549,-0.244
0.061,-0.427,-0.244
0.244,-0.427,-0.183
-0.061,-0.305,-0.549
0.0,-0.427,-0.244
-0.244,-0.366,-0.305
-0.488,0.061,-0.366
0.366,-0.549,-0.183
0.366,-0.549,-0.183
1.16,-0.61,-0.061
0.427,-0.549,-0.183
-0.183,-0.427,-0.244
0.305,-0.488,-0.244
0.244,-0.488,-0.244
0.244,-0.488,-0.244
-0.061,-0.427,-0.244
0.122,-0.488,-0.244
0.061,-0.427,-0.244
-0.061,-0.427,-0.244
-0.061,-0.366,-0.244
-15.564,307.983,56.946
-46.631,57.617,39.185
-5.127,-114.99,3.052
9.46,46.753,8.179
-16.235,11.23,13.367
0.61,-9.033,-3.54
-13.428,52.124,10.864
24.658,-96.924,-28.381
46.143,120.483,30.762
32.043,-38.818,-11.536
12.146,40.833,3.296
9.949,-3.296,10.681
7.385,-10.376,7.751
18.311,-37.17,-15.808
27.466,165.527,184.631
5.92,1.221,-12.695
36.072,-1.892,35.339
10.62,-175.293,-119.324
-37.476,-72.571,-33.264
18.066,46.509,1.404
-45.898,76.782,148.376
26.184,-137.817,-97.9
37.231,-62.256,8.423
-55.481,44.128,30.09
211.914,204.346,-111.206
-7.568,-25.574,9.155
-77.82,-179.443,113.403
-5.859,-8.728,-92.163
-25.818,13.733,-20.63
171.936,105.652,-23.376
-9.521,153.076,55.359
0.732,77.271,23.376
-72.449,-188.293,-17.09
5.737,-101.44,18.799
5.554,56.458,-17.639
8.911,162.354,26.123
-35.767,-61.523,-5.676
2.93,-82.52,2.38
11.292,75.012,-9.399
-7.202,79.773,31.189
48.035,-114.441,-14.526
-13.611,-32.898,25.635
15.869,97.534,27.1
-63.354,-123.779,-28.687
49.805,-253.296,-110.657
31.067,-37.964,-127.197
-3.845,0.244,1.648
-273.193,-46.082,79.773
-2.136,0.061,-0.244
-0.488,-0.244,-0.244
-0.366,-0.305,-0.244
0.0,-0.366,-0.244
-0.183,-0.366,-0.244
0.488,-0.488,-0.244
-0.061,-0.427,-0.244
0.183,-0.427,-0.183
161.255,-24.109,-21.606
-81.055,-23.865,-446.106
-0.305,-0.61,-0.183
0.244,-0.488,-0.183
0.122,-0.427,-0.183
0.122,-0.366,-0.183
0.122,-0.427,-0.244
0.183,-0.427,-0.183
32.104,85.205,-99.426
-67.932,-231.079,-134.033
-157.837,-27.832,20.935
-0.122,-0.671,-0.183
0.183,-0.427,-0.183
0.122,-0.427,-0.183
0.061,-0.427,-0.183
0.122,-0.488,-0.183
0.122,-0.427,-0.183
0.122,-0.427,-0.183
0.244,0.366,-0.366
95.703,-81.97,269.897
50.781,-278.076,69.58
-172.852,-246.643,22.705
-306.03,-293.945,-109.985
-82.214,-71.777,-143.494
-55.176,159.485,-8.667
-202.454,-272.827,-191.406
-138.184,-156.616,-173.035
-123.779,-182.556,-88.196
-33.936,-34.058,-105.469
-92.346,44.312,-164.551
-42.175,-60.486,-103.333
-96.313,-114.197,-185.181
9.094,11.536,-124.878
41.321,53.162,-36.621
17.395,-13.306,-104.187
-33.569,-27.466,-63.232
-89.661,-84.717,-83.496
-72.876,-41.992,-216.309
20.935,9.216,52.49
